2025-05-12 19:05:26, MASUK, B001, Laskar Pelangi, 4, 340000
2025-05-13 11:13:07, MASUK, B003, Harry Potter, 17, 1275000
2025-05-13 11:13:55, MASUK, B004, Atomic, 20, 1980000
2025-05-13 11:14:42, MASUK, B005, Kimia, 33, 1485000
2025-05-13 11:15:08, MASUK, B006, Matematika, 30, 1950000
2025-05-13 11:18:39, MASUK, B005, Kimia, 14, 630000
2025-05-13 11:18:51, KELUAR, B006, Matematika, 12, 780000
2025-05-13 11:48:35, MASUK, B007, Software Design, 12, 900000
2025-05-13 11:59:53, MASUK, B007, Software Design, 8, 600000
2025-05-13 12:00:21, KELUAR, B006, Matematika, 5, 325000
